Date,ZMW_per_USD,YearMonth
2017-02-17,0.10317042469978333,2017-02
2017-02-20,0.10298024863004684,2017-02
2017-02-21,0.10257672518491745,2017-02
2017-02-22,0.10272635519504547,2017-02
2017-02-23,0.10382598638534546,2017-02
2017-02-24,0.10460250824689865,2017-02
2017-02-27,0.10520447045564651,2017-02
2017-02-28,0.10582010447978973,2017-02
2017-03-01,0.10554089397192001,2017-03
2017-03-02,0.10454783588647842,2017-03
2017-03-03,0.10371184349060059,2017-03
2017-03-06,0.10389070957899094,2017-03
2017-03-07,0.1028277575969696,2017-03
2017-03-08,0.10376781225204468,2017-03
2017-03-09,0.10341902822256088,2017-03
2017-03-10,0.1048382893204689,2017-03
2017-03-13,0.10496152937412262,2017-03
2017-03-14,0.1042676717042923,2017-03
2017-03-15,0.10416015237569809,2017-03
2017-03-16,0.10630946606397629,2017-03
2017-03-17,0.10596251487731934,2017-03
2017-03-20,0.10443427413702011,2017-03
2017-03-21,0.10487566888332367,2017-03
2017-03-22,0.10630946606397629,2017-03
2017-03-23,0.1050078272819519,2017-03
2017-03-24,0.10548078268766403,2017-03
2017-03-27,0.10543184727430344,2017-03
2017-03-28,0.10515578836202621,2017-03
2017-03-29,0.10493509471416473,2017-03
2017-03-30,0.1047416478395462,2017-03
2017-03-31,0.1041959747672081,2017-03
2017-04-03,0.10360761731863022,2017-04
2017-04-04,0.10399226099252701,2017-04
2017-04-05,0.10473836213350296,2017-04
2017-04-06,0.10601530969142914,2017-04
2017-04-07,0.10580890625715256,2017-04
2017-04-10,0.10539406538009644,2017-04
2017-04-11,0.10593220591545105,2017-04
2017-04-12,0.10610079020261765,2017-04
2017-04-13,0.10582010447978973,2017-04
2017-04-14,0.10638298094272614,2017-04
2017-04-17,0.10648493468761444,2017-04
2017-04-18,0.10683874040842056,2017-04
2017-04-19,0.10752803832292557,2017-04
2017-04-20,0.10676003992557526,2017-04
2017-04-21,0.10739177465438843,2017-04
2017-04-24,0.10631173104047775,2017-04
2017-04-25,0.10751301050186157,2017-04
2017-04-26,0.10824268311262131,2017-04
2017-04-27,0.10736756026744843,2017-04
2017-04-28,0.10694386065006256,2017-04
2017-05-01,0.10734912008047104,2017-05
2017-05-02,0.10742292553186417,2017-05
2017-05-03,0.10788300633430481,2017-05
2017-05-04,0.1076345145702362,2017-05
2017-05-05,0.10944870859384537,2017-05
2017-05-08,0.10886842012405396,2017-05
2017-05-09,0.10872283577919006,2017-05
2017-05-10,0.10930036753416061,2017-05
2017-05-11,0.11000978946685791,2017-05
2017-05-12,0.10908575356006622,2017-05
2017-05-15,0.10937927663326263,2017-05
2017-05-16,0.10991185158491135,2017-05
2017-05-17,0.10933861136436462,2017-05
2017-05-18,0.10921680182218552,2017-05
2017-05-19,0.10763219743967056,2017-05
2017-05-22,0.10783299058675766,2017-05
2017-05-23,0.10826142877340317,2017-05
2017-05-24,0.10719837248325348,2017-05
2017-05-25,0.10813148319721222,2017-05
2017-05-26,0.10746448487043381,2017-05
2017-05-29,0.10847869515419006,2017-05
2017-05-30,0.10849163681268692,2017-05
2017-05-31,0.10899539291858673,2017-05
2017-06-01,0.10872165113687515,2017-06
2017-06-02,0.10820169001817703,2017-06
2017-06-05,0.10801935940980911,2017-06
2017-06-06,0.10811161994934082,2017-06
2017-06-07,0.10801701992750168,2017-06
2017-06-08,0.10879024863243103,2017-06
2017-06-09,0.10832709819078445,2017-06
2017-06-12,0.10878078639507294,2017-06
2017-06-13,0.10939482599496841,2017-06
2017-06-14,0.10924305021762848,2017-06
2017-06-15,0.1082637757062912,2017-06
2017-06-16,0.1091250330209732,2017-06
2017-06-19,0.10901321470737457,2017-06
2017-06-20,0.10872283577919006,2017-06
2017-06-21,0.10910002887248993,2017-06
2017-06-22,0.10910002887248993,2017-06
2017-06-23,0.10820988565683365,2017-06
2017-06-26,0.1086130142211914,2017-06
2017-06-27,0.10890991985797882,2017-06
2017-06-28,0.10964551568031311,2017-06
2017-06-29,0.1085151880979538,2017-06
2017-06-30,0.10983940958976746,2017-06
2017-07-03,0.11032778024673462,2017-07
2017-07-04,0.10928603261709213,2017-07
2017-07-05,0.10984061658382416,2017-07
2017-07-06,0.11100997030735016,2017-07
2017-07-07,0.10989010334014893,2017-07
2017-07-10,0.11062926054000854,2017-07
2017-07-12,0.11277008056640625,2017-07
2017-07-13,0.1123267337679863,2017-07
2017-07-14,0.11335940659046173,2017-07
2017-07-17,0.11378894001245499,2017-07
2017-07-18,0.11372295022010803,2017-07
2017-07-19,0.11294841021299362,2017-07
2017-07-20,0.1132233589887619,2017-07
2017-07-21,0.11533892154693604,2017-07
2017-07-24,0.1141774132847786,2017-07
2017-07-25,0.11379799991846085,2017-07
2017-07-26,0.11383946239948273,2017-07
2017-07-27,0.11453835666179657,2017-07
2017-07-28,0.11295861005783081,2017-07
2017-07-31,0.11330417543649673,2017-07
2017-08-01,0.11400429159402847,2017-08
2017-08-02,0.11231916397809982,2017-08
2017-08-03,0.1115536019206047,2017-08
2017-08-04,0.110781230032444,2017-08
2017-08-07,0.1099831685423851,2017-08
2017-08-08,0.11020619422197342,2017-08
2017-08-09,0.11158348619937897,2017-08
2017-08-10,0.11312089115381241,2017-08
2017-08-11,0.11327336728572845,2017-08
2017-08-14,0.11241133511066437,2017-08
2017-08-15,0.11115062981843948,2017-08
2017-08-16,0.11183056235313416,2017-08
2017-08-17,0.11199963837862015,2017-08
2017-08-18,0.11164452880620956,2017-08
2017-08-21,0.11162582784891129,2017-08
2017-08-22,0.1119094043970108,2017-08
2017-08-23,0.1114019975066185,2017-08
2017-08-24,0.11164327710866928,2017-08
2017-08-25,0.11189187318086624,2017-08
2017-08-28,0.11200466006994247,2017-08
2017-08-29,0.11125697940587997,2017-08
2017-08-30,0.11024021357297897,2017-08
2017-08-31,0.11066843569278717,2017-08
2017-09-01,0.11086597293615341,2017-09
2017-09-04,0.10996261239051819,2017-09
2017-09-05,0.1099855899810791,2017-09
2017-09-06,0.11016613245010376,2017-09
2017-09-07,0.10984303802251816,2017-09
2017-09-08,0.1101103276014328,2017-09
